order_date,Sales_QTY,Sales_amount,currency,User_id,Restaurant_id
10/7/2019,1,944,INR,97062,533186
10/28/2019,7,2574,INR,22637,478348
11/8/2019,1,630,INR,89402,138890
11/15/2019,1,472,INR,22934,553999
11/22/2019,1,944,INR,94097,410839
11/29/2019,2,1417,INR,69318,137701
12/6/2019,1,1259,INR,30973,575990
12/13/2019,4,3773,INR,95622,410838
12/20/2019,1,315,INR,75375,397258
1/9/2020,1,630,INR,67309,133352
1/10/2020,1,472,INR,32001,150497
1/17/2020,2,2042,INR,27878,383716
2/7/2020,1,417,INR,44282,113948
2/14/2020,1,310,INR,72118,431552
2/28/2020,1,208,INR,7393,412357
3/6/2020,1,620,INR,60723,102037
3/13/2020,1,620,INR,8510,578207
4/3/2020,1,829,INR,35057,565260
4/14/2020,4,2694,INR,12548,101351
4/20/2020,1,102,INR,75828,480203
5/15/2020,2,528,INR,77161,102842
10/24/2017,1,380,INR,6335,138891
10/25/2017,1,560,INR,26962,143143
10/30/2017,1,560,INR,62482,558957
11/27/2017,1,1116,INR,49458,489011
12/11/2017,1,657,INR,55705,428013
12/12/2017,1,560,INR,3659,116273
12/19/2017,1,657,INR,15765,478936
2/12/2018,1,560,INR,98573,477627
10/19/2018,11,6218,INR,7042,437616
11/20/2017,7,2426,INR,33021,550910
11/24/2017,33,15278,INR,79414,342366
11/14/2018,3,3032,INR,5021,557008
5/22/2019,2,3194,INR,9751,97199
5/23/2019,1,912,INR,90157,134569
5/28/2019,1,1824,INR,81405,183009
5/29/2019,1,458,INR,22196,174586
5/31/2019,3,4444,INR,54311,494588
6/3/2019,1,458,INR,7130,102042
6/4/2019,1,458,INR,4820,431339
6/5/2019,1,1824,INR,51986,109550
6/5/2019,2,2667,INR,60272,477628
6/6/2019,14,19171,INR,81439,129550
6/7/2019,1,458,INR,24228,387674
6/11/2019,1,458,INR,85740,183165
6/12/2019,1,458,INR,99692,310273
6/14/2019,1,1370,INR,6099,293915
6/14/2019,2,2667,INR,20384,131676
6/17/2019,1,1333,INR,40087,109258
6/18/2019,1,597,INR,31820,483552
6/18/2019,7,8889,INR,66852,517939
6/19/2019,1,1778,INR,20461,154840
6/28/2019,7,9130,INR,64296,494001
4/23/2018,1,602,INR,96599,489362
5/3/2018,2,3227,INR,52610,510109
5/4/2018,1,449,INR,21899,249335
5/7/2018,1,449,INR,70074,174458
5/9/2018,1,449,INR,37250,129691
5/11/2018,1,449,INR,72426,139864
5/11/2018,7,9880,INR,18079,486482
5/16/2018,1,301,INR,62919,109839
5/16/2018,6,7954,INR,94707,102219
5/17/2018,1,2153,INR,97031,364571
5/17/2018,4,5306,INR,41199,413342
5/18/2018,1,1801,INR,77922,387177
5/23/2018,2,2699,INR,51642,141706
5/24/2018,1,1616,INR,76180,501701
5/25/2018,2,2245,INR,72634,456922
5/26/2018,1,0,INR,59836,102582
5/28/2018,1,903,INR,26473,405031
5/29/2018,4,5306,INR,79770,263185
5/30/2018,3,3778,INR,88503,109549
5/31/2018,1,537,INR,83948,487422
5/31/2018,1,1417,INR,36470,163436
5/31/2018,4,5306,INR,28527,282630
6/1/2018,1,472,INR,63006,255651
6/1/2018,3,4051,INR,18923,549624
6/1/2018,10,14815,INR,94662,413451
6/6/2018,3,4495,INR,73355,523044
6/7/2018,2,2690,INR,79063,102038
6/7/2018,1,1417,INR,38422,403754
6/8/2018,1,449,INR,65501,545808
6/8/2018,18,23866,INR,390,439417
6/11/2018,1,898,INR,74308,390478
6/11/2018,3,4940,INR,10829,103649
6/13/2018,1,449,INR,18627,430451
6/14/2018,1,2153,INR,95761,518548
6/14/2018,1,472,INR,65289,518819
6/14/2018,1,449,INR,12714,447526
6/14/2018,4,5306,INR,44862,102579
6/15/2018,3,3602,INR,72306,126128
6/18/2018,4,3583,INR,41736,518803
6/18/2018,4,4954,INR,52484,377434
6/21/2018,1,1889,INR,28492,442180
7/18/2018,1,472,INR,69086,129551
7/18/2018,1,1352,INR,70248,577891
7/19/2018,1,1616,INR,79404,462172
7/19/2018,1,449,INR,23302,104481
7/23/2018,1,1801,INR,88139,536499
7/30/2018,1,1801,INR,89503,532670
1/25/2019,1,449,INR,63311,113036
2/4/2019,1,449,INR,38163,536328
2/20/2019,1,449,INR,41993,109548
3/13/2019,1,444,INR,39307,364627
3/28/2019,1,444,INR,97619,104147
4/30/2019,1,0,INR,95267,553404
10/6/2017,1,505,INR,76228,271964
10/13/2017,1,1514,INR,88936,102041
10/20/2017,1,2023,INR,94962,497063
10/27/2017,25,37889,INR,64618,378028
2/8/2018,1,593,INR,26758,549633
2/16/2018,1,597,INR,75559,143194
2/26/2018,1,2389,INR,51444,327008
3/1/2018,1,593,INR,13095,497638
3/2/2018,1,1194,INR,16154,580202
3/5/2018,8,13736,INR,99658,377292
3/12/2018,1,1194,INR,82709,102571
4/3/2018,1,597,INR,55321,476303
4/9/2018,1,597,INR,9717,451742
4/13/2018,1,597,INR,22741,451743
4/24/2018,17,17472,INR,47750,116272
4/26/2018,2,2986,INR,79403,102581
4/27/2018,2,2986,INR,11797,508701
5/7/2018,1,597,INR,78696,549383
5/14/2018,1,1194,INR,36572,440950
5/18/2018,1,796,INR,64023,355561
5/31/2018,26,26722,INR,44725,462505
6/11/2018,1,796,INR,40667,186264
6/13/2018,1,796,INR,74544,211142
6/14/2018,1,3185,INR,54146,489422
6/18/2018,1,796,INR,39568,401391
6/22/2018,1,2389,INR,91996,354669
6/29/2018,1,3185,INR,1471,519622
7/9/2018,2,5574,INR,75222,153339
7/13/2018,1,796,INR,95293,443028
7/20/2018,1,796,INR,21716,226773
7/27/2018,1,796,INR,3973,385197
8/3/2018,1,1593,INR,80534,431115
10/12/2018,1,514,INR,5105,508583
10/17/2018,1,4759,INR,41699,132538
10/25/2018,1,1190,INR,93225,394140
10/26/2018,1,1190,INR,41086,124500
10/31/2018,3,4106,INR,95693,370259
11/5/2018,2,5949,INR,17157,533855
11/6/2018,2,5949,INR,26770,125180
12/7/2018,1,514,INR,91483,263297
12/14/2018,1,514,INR,22416,410629
12/21/2018,1,514,INR,21591,461084
12/28/2018,1,0,INR,14159,499377
1/28/2019,1,514,INR,81159,390901
2/1/2019,1,514,INR,33026,127306
2/8/2019,1,1028,INR,70197,111386
2/15/2019,1,2056,INR,68124,308169
2/22/2019,1,796,INR,31683,537808
2/22/2019,1,1542,INR,26824,433648
3/1/2019,1,514,INR,20053,115931
3/8/2019,1,1028,INR,20595,579047
4/12/2019,1,796,INR,64678,174464
6/3/2019,1,796,INR,57538,163435
6/17/2019,1,1593,INR,1389,417015
6/24/2019,1,796,INR,27107,376602
7/15/2019,1,611,INR,239,546139
8/16/2019,1,1028,INR,21233,102578
9/27/2019,1,514,INR,29788,503432
10/4/2019,1,514,INR,41340,514288
10/18/2019,1,514,INR,36937,552372
10/21/2019,1,796,INR,17267,385938
10/25/2019,1,796,INR,66837,164297
11/1/2019,1,514,INR,35279,579040
11/4/2019,1,796,INR,93608,539663
11/8/2019,1,1593,INR,26109,120193
11/8/2019,1,514,INR,32256,102631
11/15/2019,1,3185,INR,60760,189441
11/15/2019,1,514,INR,30203,102039
11/18/2019,1,514,INR,98708,127463
12/6/2019,2,4778,INR,45289,109387
12/6/2019,1,514,INR,98692,306094
12/13/2019,4,10352,INR,49142,102577
12/20/2019,1,796,INR,68017,242722
6/12/2020,1,1028,INR,71065,528374
6/16/2020,1,514,INR,45681,355563
6/5/2018,33,29648,INR,76291,417020
10/10/2017,240,143560,INR,82777,385636
10/11/2017,7,6204,INR,30666,546127
10/16/2017,1,495,INR,6590,195788
10/23/2017,20,25130,INR,51094,102040
10/25/2017,1,986,INR,3896,414252
11/2/2017,13,23898,INR,90057,484449
11/3/2017,1,296,INR,43718,530955
11/8/2017,1,356,INR,20705,554195
10/10/2017,100,41241,INR,92578,450591
5/8/2018,3,-1,INR,357,509389
4/6/2018,1,875,INR,73050,385811
4/11/2018,1,583,INR,38727,419356
6/18/2018,6,7176,INR,71407,103646
11/23/2017,39,21412,INR,89997,120977
11/27/2017,35,19213,INR,23396,372399
11/28/2017,310,170185,INR,65386,455954
11/29/2017,184,101194,INR,76708,292480
11/30/2017,35,19213,INR,44323,512637
11/29/2017,17,9426,INR,21594,372402
12/19/2017,1,218,INR,33803,530390
8/7/2018,5,3093,INR,7671,372748
12/4/2017,58,30306,INR,77012,236464
6/29/2018,38,52319,INR,33103,257314
7/2/2018,93,126296,INR,23660,525290
7/3/2018,79,107500,INR,75074,372401
7/4/2018,1,273,INR,45986,566600
7/6/2018,3,3574,INR,37307,187581
7/13/2018,1,273,INR,5009,364460
6/7/2019,20,23403,INR,33457,350908
7/29/2019,81,76329,INR,4443,103645
8/1/2019,5,4542,INR,25386,547588
9/19/2019,18,16579,INR,70923,363377
9/27/2019,90,105301,INR,32671,365286
10/9/2017,1,185,INR,62918,174578
10/13/2017,1,556,INR,64287,207907
10/27/2017,1,551,INR,85714,480302
11/3/2017,1,167,INR,68740,229462
11/6/2017,1,333,INR,69686,509922
11/10/2017,1,500,INR,12259,244302
11/16/2017,1,333,INR,35344,229475
11/17/2017,1,333,INR,9088,417740
11/27/2017,1,500,INR,24769,388007
12/4/2017,1,833,INR,50624,300380
12/8/2017,1,167,INR,5811,190030
12/11/2017,1,833,INR,83331,180225
12/18/2017,1,1000,INR,66009,186918
12/27/2017,2,1833,INR,76381,383698
12/28/2017,1,167,INR,40866,365232
1/5/2018,1,167,INR,11018,383695
1/8/2018,1,833,INR,17420,551764
1/22/2018,1,167,INR,84389,546062
2/21/2018,26,10657,INR,16476,193441
2/23/2018,1,167,INR,461,165411
8/3/2018,1,157,INR,34583,127035
8/24/2018,1,315,INR,1140,281294
9/21/2018,1,630,INR,34365,383696
9/28/2018,1,315,INR,25837,383699
11/9/2018,1,157,INR,43993,406415
11/16/2018,1,472,INR,1656,400606
12/7/2018,1,157,INR,19158,127034
12/14/2018,1,157,INR,37140,496555
1/25/2019,1,315,INR,8319,368710
2/1/2019,1,157,INR,25322,302166
2/8/2019,1,472,INR,34568,116271
2/15/2019,1,472,INR,34540,332173
2/22/2019,1,315,INR,99740,512784
3/1/2019,1,472,INR,42835,394530
3/8/2019,1,315,INR,17023,385163
3/15/2019,1,157,INR,75186,414910
3/22/2019,1,315,INR,37337,437594
3/29/2019,1,315,INR,84163,367523
4/5/2019,1,315,INR,57605,370137
4/12/2019,1,787,INR,41023,530618
4/23/2019,1,630,INR,47164,484451
4/29/2019,1,472,INR,78967,472498
5/6/2019,1,315,INR,19311,381376
5/10/2019,1,787,INR,26444,423682
5/17/2019,1,1102,INR,6563,472852
6/3/2019,1,787,INR,94769,109260
6/7/2019,1,157,INR,42597,110560
6/17/2019,1,315,INR,71000,518550
6/24/2019,1,315,INR,13451,568511
6/28/2019,1,315,INR,653,369083
7/5/2019,1,472,INR,28963,109771
7/12/2019,1,630,INR,30377,492183
7/19/2019,1,944,INR,86094,152803
7/26/2019,2,1417,INR,25079,164125
8/2/2019,2,1417,INR,80312,350307
8/9/2019,1,787,INR,81715,502166
8/16/2019,1,1259,INR,33376,531799
9/2/2019,2,1574,INR,69029,380534
9/3/2019,1,630,INR,35281,394135
9/6/2019,1,157,INR,18749,153648
9/13/2019,2,1417,INR,66146,556855
9/20/2019,1,630,INR,49872,489107
9/23/2019,200,66111,INR,88104,569383
9/27/2019,2,1884,INR,30000,531219
10/7/2019,1,944,INR,27589,500770
10/28/2019,7,2574,INR,86321,553063
11/8/2019,1,630,INR,10466,237779
11/15/2019,1,472,INR,94974,442389
11/22/2019,1,944,INR,89592,547753
11/29/2019,2,1417,INR,78942,166205
12/6/2019,1,1259,INR,14284,173008
12/13/2019,4,3773,INR,41986,361206
12/20/2019,1,315,INR,15826,153653
1/9/2020,1,630,INR,73049,279448
1/10/2020,1,472,INR,89028,493220
1/17/2020,2,2042,INR,38725,124383
2/7/2020,1,417,INR,41101,555105
2/14/2020,1,310,INR,31987,326486
2/28/2020,1,208,INR,21695,520872
3/6/2020,1,620,INR,75245,530620
3/13/2020,1,620,INR,65549,479984
4/3/2020,1,829,INR,38986,152804
4/14/2020,4,2694,INR,63504,432868
4/20/2020,1,102,INR,28966,424993
5/15/2020,2,528,INR,82951,300432
10/24/2017,1,380,INR,90874,532330
10/25/2017,1,560,INR,92898,256769
10/30/2017,1,560,INR,6894,559895
11/27/2017,1,1116,INR,26576,251915
12/11/2017,1,657,INR,38410,134577
12/12/2017,1,560,INR,29675,523072
12/19/2017,1,657,INR,86444,476268
2/12/2018,1,560,INR,803,412598
10/19/2018,11,6218,INR,14358,452854
11/20/2017,7,2426,INR,92104,354044
11/24/2017,33,15278,INR,36827,553046
11/14/2018,3,3032,INR,74728,288425
5/22/2019,2,3194,INR,14635,481576
5/23/2019,1,912,INR,79376,368664
5/28/2019,1,1824,INR,36957,532732
5/29/2019,1,458,INR,97379,404666
5/31/2019,3,4444,INR,1353,143559
6/3/2019,1,458,INR,32732,183499
6/4/2019,1,458,INR,22947,395982
6/5/2019,1,1824,INR,63301,569289
6/5/2019,2,2667,INR,29054,419787
6/6/2019,14,19171,INR,54679,419687
6/7/2019,1,458,INR,57104,249645
6/11/2019,1,458,INR,42896,332479
6/12/2019,1,458,INR,41062,415635
6/14/2019,1,1370,INR,97488,479113
6/14/2019,2,2667,INR,70126,410836
6/17/2019,1,1333,INR,16467,476276
6/18/2019,1,597,INR,73121,385489
6/18/2019,7,8889,INR,89035,305454
6/19/2019,1,1778,INR,31046,570971
6/28/2019,7,9130,INR,77590,405673
4/23/2018,1,602,INR,55008,377020
5/3/2018,2,3227,INR,92915,420152
5/4/2018,1,449,INR,64903,403440
5/7/2018,1,449,INR,75131,258830
5/9/2018,1,449,INR,14129,361216
5/11/2018,1,449,INR,70550,192853
5/11/2018,7,9880,INR,67790,412322
5/16/2018,1,301,INR,23858,480140
5/16/2018,6,7954,INR,56549,530382
5/17/2018,1,2153,INR,981,507033
5/17/2018,4,5306,INR,31048,441979
5/18/2018,1,1801,INR,26610,545216
5/23/2018,2,2699,INR,49415,480225
5/24/2018,1,1616,INR,52483,387711
5/25/2018,2,2245,INR,83543,258777
5/26/2018,1,0,INR,38713,389125
5/28/2018,1,903,INR,12000,489340
5/29/2018,4,5306,INR,36815,505432
5/30/2018,3,3778,INR,81421,571985
5/31/2018,1,537,INR,51098,568905
5/31/2018,1,1417,INR,7671,146227
5/31/2018,4,5306,INR,70112,146243
6/1/2018,1,472,INR,30733,146156
6/1/2018,3,4051,INR,81739,218090
6/1/2018,10,14815,INR,10374,146192
6/6/2018,3,4495,INR,12121,239690
6/7/2018,2,2690,INR,3418,524742
6/7/2018,1,1417,INR,9465,466231
6/8/2018,1,449,INR,98989,312572
6/8/2018,18,23866,INR,92306,146161
6/11/2018,1,898,INR,53345,570337
6/11/2018,3,4940,INR,20294,323083
6/13/2018,1,449,INR,46862,482021
6/14/2018,1,2153,INR,90813,436752
6/14/2018,1,472,INR,28092,519105
6/14/2018,1,449,INR,38693,414955
6/14/2018,4,5306,INR,77252,459695
6/15/2018,3,3602,INR,28435,303459
6/18/2018,4,3583,INR,65812,572668
6/18/2018,4,4954,INR,71560,538526
6/21/2018,1,1889,INR,82969,326274
7/18/2018,1,472,INR,52413,276830
7/18/2018,1,1352,INR,52147,297700
7/19/2018,1,1616,INR,63512,362114
7/19/2018,1,449,INR,45741,324273
7/23/2018,1,1801,INR,22039,326295
7/30/2018,1,1801,INR,47158,326297
1/25/2019,1,449,INR,56053,218114
2/4/2019,1,449,INR,6607,326279
2/20/2019,1,449,INR,26271,326275
3/13/2019,1,444,INR,97022,326272
3/28/2019,1,444,INR,24967,146144
4/30/2019,1,0,INR,33710,544517
10/6/2017,1,505,INR,58053,146135
10/13/2017,1,1514,INR,86946,430688
10/20/2017,1,2023,INR,51682,524405
10/27/2017,25,37889,INR,33077,228898
2/8/2018,1,593,INR,15565,227061
2/16/2018,1,597,INR,3187,107348
2/26/2018,1,2389,INR,63914,102141
3/1/2018,1,593,INR,34338,133317
3/2/2018,1,1194,INR,99265,396907
3/5/2018,8,13736,INR,12221,106153
3/12/2018,1,1194,INR,55544,191297
4/3/2018,1,597,INR,43975,140286
4/9/2018,1,597,INR,37842,129221
4/13/2018,1,597,INR,17872,216571
4/24/2018,17,17472,INR,4964,148652
4/26/2018,2,2986,INR,25717,226493
4/27/2018,2,2986,INR,49237,106660
5/7/2018,1,597,INR,90836,144087
5/14/2018,1,1194,INR,7296,354337
5/18/2018,1,796,INR,37994,133984
5/31/2018,26,26722,INR,77880,106644
6/11/2018,1,796,INR,91609,459039
6/13/2018,1,796,INR,74137,106649
6/14/2018,1,3185,INR,88366,107356
6/18/2018,1,796,INR,88793,525705
6/22/2018,1,2389,INR,60885,156626
6/29/2018,1,3185,INR,15704,542392
7/9/2018,2,5574,INR,25161,107347
7/13/2018,1,796,INR,42452,129223
7/20/2018,1,796,INR,91783,106647
7/27/2018,1,796,INR,44011,142469
8/3/2018,1,1593,INR,95681,166872
10/12/2018,1,514,INR,50851,391689
10/17/2018,1,4759,INR,66233,317459
10/25/2018,1,1190,INR,89429,288965
10/26/2018,1,1190,INR,62412,474522
10/31/2018,3,4106,INR,28403,397298
11/5/2018,2,5949,INR,30430,487740
11/6/2018,2,5949,INR,34240,106656
12/7/2018,1,514,INR,9424,381464
12/14/2018,1,514,INR,27135,402612
12/21/2018,1,514,INR,24089,437089
12/28/2018,1,0,INR,3624,156634
1/28/2019,1,514,INR,64033,186059
2/1/2019,1,514,INR,10771,351254
2/8/2019,1,1028,INR,80030,173873
2/15/2019,1,2056,INR,32311,147499
2/22/2019,1,796,INR,93589,129219
2/22/2019,1,1542,INR,82183,231022
3/1/2019,1,514,INR,35887,106158
3/8/2019,1,1028,INR,74367,317458
4/12/2019,1,796,INR,81057,568813
6/3/2019,1,796,INR,88160,210529
6/17/2019,1,1593,INR,12949,480230
6/24/2019,1,796,INR,67709,450577
7/15/2019,1,611,INR,93095,167658
8/16/2019,1,1028,INR,18042,429042
9/27/2019,1,514,INR,46943,387090
10/4/2019,1,514,INR,50847,129225
10/18/2019,1,514,INR,45608,129222
10/21/2019,1,796,INR,36035,563133
10/25/2019,1,796,INR,37160,308502
11/1/2019,1,514,INR,97325,379784
11/4/2019,1,796,INR,66548,106155
11/8/2019,1,1593,INR,26926,451858
11/8/2019,1,514,INR,56955,346113
11/15/2019,1,3185,INR,86772,345169
11/15/2019,1,514,INR,77670,488972
11/18/2019,1,514,INR,70246,470446
12/6/2019,2,4778,INR,9893,260664
12/6/2019,1,514,INR,40204,142468
12/13/2019,4,10352,INR,78557,106659
12/20/2019,1,796,INR,35173,498164
6/12/2020,1,1028,INR,58409,129218
6/16/2020,1,514,INR,72553,361218
6/5/2018,33,29648,INR,24179,106652
10/10/2017,240,143560,INR,49796,155345
10/11/2017,7,6204,INR,89408,541876
10/16/2017,1,495,INR,77467,140285
10/23/2017,20,25130,INR,80625,354470
10/25/2017,1,986,INR,38515,381614
11/2/2017,13,23898,INR,2661,460534
11/3/2017,1,296,INR,55822,424638
11/8/2017,1,356,INR,41258,535243
11/14/2017,1,1977,INR,76145,544934
11/22/2017,1,296,INR,3351,422057
11/22/2017,7,8375,INR,56019,457691
12/5/2017,4,7171,INR,72103,498026
12/15/2017,1,356,INR,25386,226002
1/15/2018,1,356,INR,75230,417721
1/22/2018,7,8375,INR,11411,378373
2/6/2018,208,77931,INR,51070,418416
2/8/2018,105,40704,INR,44828,155342
2/9/2018,125,47074,INR,43352,542806
2/14/2018,10,4028,INR,62707,484400
4/24/2018,33,30167,INR,24500,108693
5/24/2018,6,1968,INR,44407,398254
11/20/2017,3,1366,INR,70919,477251
12/1/2017,1,495,INR,4134,129214
3/22/2018,17,6713,INR,94294,221998
5/18/2018,57,27708,INR,9325,142467
10/13/2017,1,537,INR,15578,452094
10/17/2017,7,7644,INR,8682,216034
11/21/2017,1,157,INR,90202,387274
11/24/2017,8,10972,INR,2019,387984
12/1/2017,1,1218,INR,26873,418431
12/4/2017,9,13407,INR,48303,256523
1/10/2018,5,0,INR,85273,400695
1/12/2018,1,245,INR,22722,190512
2/22/2018,1,245,INR,86602,298120
6/28/2018,187,115481,INR,13240,298134
6/29/2018,38,78986,INR,17066,516317
7/2/2018,119,245546,INR,11140,471533
7/3/2018,79,162292,INR,20687,307163
7/4/2018,1,412,INR,8840,402269
7/6/2018,5,7981,INR,20266,492449
7/11/2018,19,27505,INR,40293,306768
7/13/2018,173,145921,INR,53689,531066
7/13/2018,1,546,INR,80009,572448
7/19/2018,20,28167,INR,44257,548154
7/24/2018,23,32764,INR,30599,384570
7/25/2018,5,6648,INR,47303,508034
7/26/2018,28,40366,INR,55877,475170
7/27/2018,3,4273,INR,39183,382150
7/31/2018,1,949,INR,38376,107750
8/1/2018,1,477,INR,28381,522250
8/2/2018,1,949,INR,55341,359032
8/3/2018,41,70356,INR,18710,106651
8/7/2018,7,6528,INR,94920,485620
8/7/2018,1,477,INR,80358,155428
8/10/2018,12,19727,INR,46096,353206
8/15/2018,2,3324,INR,17157,231062
9/12/2018,227,103889,INR,46366,514461
9/13/2018,36,18167,INR,16819,574146
2/6/2019,112,106560,INR,75082,381622
3/15/2019,50,90130,INR,73222,424442
3/22/2019,30,54079,INR,3566,156629
5/8/2019,182,153815,INR,86063,439733
5/17/2019,1,306,INR,3147,392717
7/12/2019,157,132519,INR,88325,407920
7/29/2019,111,152833,INR,61714,282725
8/1/2019,7,10144,INR,55686,302297
8/28/2019,7,8991,INR,30426,528945
9/6/2019,1,1218,INR,97437,377559
9/13/2019,1,1708,INR,96002,372467
9/19/2019,177,79676,INR,83479,376670
9/20/2019,1,486,INR,48650,376532
10/10/2019,18,25356,INR,51928,541131
11/7/2019,13,17519,INR,15061,147502
11/29/2019,4,6338,INR,95076,375975
10/5/2017,4,9190,INR,73590,575772
10/6/2017,4,8384,INR,5758,492152
10/12/2017,2,4889,INR,84776,477947
10/13/2017,2,3495,INR,74682,383822
10/13/2017,1,2065,INR,70683,574413
10/25/2017,1,1380,INR,55886,432874
10/27/2017,6,11870,INR,58460,285935
11/3/2017,6,12574,INR,76925,148656
11/6/2017,1,2796,INR,53527,210521
11/10/2017,2,4889,INR,40712,463976
11/17/2017,1,2792,INR,13750,513496
11/20/2017,33,68898,INR,78050,560965
11/23/2017,1,2792,INR,59992,384964
11/24/2017,3,6991,INR,84099,453970
11/27/2017,1,681,INR,52135,454572
11/30/2017,22,44782,INR,68138,133987
12/1/2017,13,26537,INR,48371,515674
12/6/2017,2,3444,INR,71992,384541
12/7/2017,2,4190,INR,17503,235936
12/7/2017,1,2755,INR,14677,74562
12/8/2017,9,18852,INR,83711,74569
12/12/2017,1,1380,INR,55791,92199
12/14/2017,3,6287,INR,51369,74558
12/15/2017,20,41199,INR,41479,102855
12/18/2017,1,1356,INR,78661,74359
12/19/2017,1,681,INR,51349,93939
12/21/2017,3,5588,INR,57486,466379
12/22/2017,15,32125,INR,74109,102893
12/22/2017,7,13778,INR,10239,299472
1/2/2018,2,4194,INR,78033,392498
1/2/2018,1,2713,INR,45290,102884
1/5/2018,31,65648,INR,58930,202097
1/8/2018,23,48231,INR,91189,446731
1/12/2018,8,16065,INR,17158,102924
1/15/2018,1,1356,INR,78557,576441
1/16/2018,1,1356,INR,76806,289869
1/29/2018,1,681,INR,60035,547286
2/1/2018,1,1398,INR,25211,252910
2/2/2018,10,20255,INR,93186,422482
2/6/2018,1,681,INR,39132,499591
2/9/2018,1,699,INR,42396,102954
2/22/2018,6,12014,INR,67350,530179
4/10/2018,1,681,INR,21434,506276
4/19/2018,19,43537,INR,1769,540806
4/23/2018,1,681,INR,78177,79627
5/8/2018,28,65310,INR,69687,423314
5/15/2018,1,681,INR,66159,554819
6/4/2018,9,21769,INR,52862,398748
6/8/2018,1,2176,INR,61643,91224
1/16/2018,8,17222,INR,50852,576146
1/17/2018,24,48917,INR,39043,97066
2/9/2018,1,1380,INR,58201,254105
2/12/2018,13,26333,INR,12579,227830
